Automatically extracted tie points: 117
With finite NCC on both sides      : 117
VALID (NCC after > before)         : 117 (100%)
Mean NCC before -> after           : 0.117 -> 0.530
Mean match score (coastline NCC)   : 0.771
Shift magnitude px: min 11 mean 75 max 122

row  col   dx    dy   score  ncc_before ncc_after valid
 2600  1750   -93   -11 0.742   +0.320    +0.595   Y
 3280  1630   -90   -17 0.741   +0.209    +0.619   Y
 3280  1680  -102   -21 0.740   -0.019    +0.570   Y
 3060  1010   +63   +12 0.731   +0.412    +0.696   Y
 2110  2410   -89    +3 0.728   +0.207    +0.736   Y
 3450  1400   -43    -6 0.725   +0.175    +0.331   Y
 3450  1800  -104   -25 0.724   -0.224    +0.558   Y
 3430  1530   -68    -1 0.723   +0.406    +0.531   Y
 3320  1670  -102   -22 0.722   +0.010    +0.620   Y
 3110  1610   -92   -10 0.721   -0.051    +0.773   Y
 3060  1610   -91   -14 0.720   -0.082    +0.783   Y
 3530  1730  -105   -23 0.718   +0.118    +0.256   Y
 3040  1150   +37   -13 0.707   +0.394    +0.609   Y
 3470  1470   -53    -6 0.703   +0.242    +0.436   Y
 3320  1270    -1   +15 0.698   +0.518    +0.558   Y
 2130  2280   -74   -11 0.685   -0.183    +0.418   Y
 3650  1700  -106   -22 0.678   +0.018    +0.540   Y
 3360  1260    +4   +19 0.675   +0.458    +0.514   Y
 3120  1570   -90   -10 0.672   +0.104    +0.337   Y
 2570  1720   -92   -10 0.671   +0.000    +0.290   Y
 3520  1770  -101   -18 0.659   -0.257    +0.285   Y
 3250  1600   -80   -16 0.657   +0.204    +0.694   Y
 3380  1580   -49    +8 0.655   -0.013    +0.329   Y
  480  2010   -23   -15 0.637   +0.124    +0.472   Y
 1310   660   -74   -23 0.633   -0.430    +0.143   Y
 3230  1680  -109   -22 0.633   +0.021    +0.507   Y
 1360   710   -43   -21 0.617   +0.024    +0.311   Y
 3230  1380   -32   -22 0.616   -0.280    -0.175   Y
 3200  1650  -120   -20 0.605   +0.107    +0.408   Y
  480  2100   -23   -14 0.594   -0.074    +0.341   Y
 3480  1430   -42    -9 0.564   +0.115    +0.235   Y
 3480  1530   -68    -1 0.558   +0.058    +0.159   Y
  480  1830   +24    -3 0.543   +0.417    +0.453   Y
 3660  1660   -98   -39 0.534   -0.191    +0.151   Y
 3450  1350   -66   +13 0.527   -0.007    +0.062   Y
  480  2190   -51   -19 0.516   -0.106    +0.285   Y
  570  2010   -16   -11 0.510   +0.068    +0.250   Y
 2900  1640   -91   -25 0.506   -0.029    +0.427   Y
  480  2280   -57   -21 0.493   -0.048    +0.396   Y
  660  2190   -66   -22 0.479   +0.142    +0.491   Y
  480  2730   -80   -24 0.472   +0.043    +0.444   Y
  480  2820   -56   -17 0.465   +0.372    +0.511   Y
  390  2100   -18   -16 0.424   +0.464    +0.669   Y
  570  2190   -53   -20 0.409   -0.058    +0.231   Y
