Automatically extracted tie points: 117
With finite NCC on both sides      : 117
VALID (NCC after > before)         : 117 (100%)
Mean NCC before -> after           : 0.117 -> 0.530
Mean match score (coastline NCC)   : 0.771
Shift magnitude px: min 11 mean 75 max 122

row  col   dx    dy   score  ncc_before ncc_after valid
 2650  1650   -77   -19 0.994   -0.020    +0.657   Y
 2700  1650   -77   -16 0.983   -0.006    +0.738   Y
 2610  1660   -80   -15 0.980   -0.062    +0.528   Y
 3400  1500   -54   -36 0.979   +0.562    +0.633   Y
 3310  1460   -57   -13 0.973   +0.325    +0.783   Y
 3410  1460   -71    +2 0.969   +0.479    +0.760   Y
 2620  1620   -78   -17 0.968   +0.024    +0.280   Y
 2580  1630   -80   -14 0.958   -0.046    +0.131   Y
 3360  1460   -59    -6 0.949   +0.577    +0.840   Y
 3350  1500   -58   -12 0.946   +0.539    +0.855   Y
 3370  1420   -69    +1 0.940   +0.609    +0.676   Y
 2700  1700   -77   -16 0.929   +0.329    +0.770   Y
 3400  1350   -35    -3 0.928   +0.560    +0.648   Y
 2150  2350   -72   -22 0.921   -0.062    +0.724   Y
 3360  1360   -36    -9 0.918   +0.623    +0.676   Y
 3320  1420   -54   -12 0.918   +0.178    +0.609   Y
 3410  1410   -52    -7 0.917   +0.543    +0.604   Y
 2230   830   +94    -2 0.915   -0.151    +0.539   Y
 3200  1550   -79   -18 0.915   +0.103    +0.689   Y
 3300  1500   -57   -14 0.906   +0.423    +0.810   Y
 3260  1460   -54   -15 0.904   +0.156    +0.645   Y
 2180   830   +92    +0 0.900   -0.177    +0.386   Y
 2570  1670   -85   -12 0.894   -0.138    +0.229   Y
 2200  2350   -57   -52 0.891   +0.122    +0.741   Y
 2180   730   +91    +9 0.885   +0.371    +0.783   Y
 3600  1750  -105   -22 0.884   +0.168    +0.598   Y
 3360  1760  -107   -23 0.882   -0.245    +0.740   Y
 2220   770   +92    +8 0.880   -0.202    +0.730   Y
 2210  2310   -82   -24 0.879   -0.051    +0.719   Y
 3400  1300    -6   +13 0.873   +0.322    +0.478   Y
 3150  1600   -91   -10 0.871   +0.058    +0.694   Y
 2680  1580   -80   -14 0.867   -0.049    -0.039   Y
 2130   830   +79    -8 0.864   -0.168    +0.348   Y
 2160  2310   -72   -23 0.862   -0.273    +0.670   Y
 3420  1770  -103   -24 0.859   -0.273    +0.571   Y
 2220   720   +92    +0 0.857   +0.410    +0.825   Y
 3260  1510   -96    -5 0.855   +0.259    +0.515   Y
 3310  1360   -36   -23 0.849   +0.243    +0.283   Y
 2170   770   +90    +7 0.848   -0.077    +0.685   Y
 3360  1660  -102   -22 0.848   +0.059    +0.703   Y
 3360  1710  -102   -22 0.848   -0.049    +0.715   Y
 2230  2380   -72   -28 0.847   +0.353    +0.728   Y
 2250  2300   -80   -25 0.845   +0.080    +0.760   Y
 3650  1750  -104   -20 0.836   +0.139    +0.615   Y
 2660  1710   -78   -17 0.830   +0.332    +0.738   Y
 3400  1650  -100   -21 0.829   +0.059    +0.668   Y
 3310  1310   -11    +3 0.828   +0.415    +0.478   Y
 2230   680   +94   +12 0.827   +0.437    +0.799   Y
 3230  1430   -56   -14 0.826   -0.193    +0.152   Y
 3250  1550   -79   -15 0.826   +0.240    +0.720   Y
 2130   780   +89    +9 0.825   -0.101    +0.536   Y
 3170  1520   -78   -16 0.823   +0.072    +0.472   Y
 3350  1550   -96    +4 0.822   +0.536    +0.573   Y
 3400  1700  -101   -27 0.811   +0.100    +0.554   Y
 3560  1760  -105   -23 0.810   -0.004    +0.594   Y
 2210  2260   -63   -31 0.808   -0.140    +0.593   Y
 3320  1720  -103   -22 0.808   -0.141    +0.766   Y
 3220  1470   -73   -10 0.800   -0.028    +0.245   Y
 3510  1810   -94   -17 0.797   -0.011    +0.605   Y
 2170  2270   -71   -24 0.788   -0.191    +0.478   Y
 3370  1620  -100   -19 0.770   +0.153    +0.590   Y
 2120  2320   -77    -9 0.770   -0.375    +0.644   Y
 3260  1210   +19   +19 0.768   +0.533    +0.673   Y
 2110  2360   -85    +3 0.763   -0.176    +0.718   Y
 3430  1730  -102   -23 0.762   +0.060    +0.237   Y
 2270   670   +93    -2 0.758   +0.524    +0.685   Y
 2150  2400   -59   -23 0.757   +0.254    +0.605   Y
 3130  1530   -83   -11 0.757   +0.091    +0.310   Y
 3610  1710  -104   -21 0.754   +0.172    +0.607   Y
 3260  1260   +26   +42 0.752   +0.432    +0.536   Y
 3330  1630   -90   -17 0.749   +0.144    +0.621   Y
 3050  1050   +61   +12 0.743   +0.500    +0.668   Y
 1350   650   -85   -16 0.742   -0.293    +0.197   Y
