POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER
85,896,384,73.05888671478286,38.23418274469135,False,False,242.0,242.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
86,1024,384,74.33888671478286,38.23418274469135,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
87,1152,384,75.61888671478286,38.23418274469135,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
88,1280,384,76.89888671478285,38.23418274469135,False,False,256.0,256.0,-0.26405826210975647,-66.74300068616867,-0.0026405826210975647,0.6674300068616859,0.6674352303676881,179.77331937624788,0.3297906181491718,0.29027636687456365,False,25.6852220418573,-9999,[],False,True,False,True
89,1408,384,78.17888671478285,38.23418274469135,False,False,256.0,256.0,0.3385956287384033,24.65070652961731,0.0033859562873885807,-0.2465070652961714,0.2465303185024329,359.21304971410603,0.45634901303810665,0.4515696714468913,False,60.57414987836324,-9999,[],False,True,False,True
90,1536,384,79.45888671478285,38.23418274469135,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
91,1664,384,80.73888671478285,38.23418274469135,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
92,1792,384,82.01888671478285,38.23418274469135,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
93,1920,384,83.29888671478285,38.23418274469135,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
94,2048,384,84.57888671478285,38.23418274469135,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
95,2176,384,85.85888671478286,38.23418274469135,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
96,2304,384,87.13888671478286,38.23418274469135,False,False,230.0,230.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
97,2432,384,88.41888671478286,38.23418274469135,False,False,184.0,184.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
98,2560,384,89.69888671478286,38.23418274469135,False,False,136.0,136.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
99,2688,384,90.97888671478286,38.23418274469135,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
100,2816,384,92.25888671478285,38.23418274469135,False,False,100.0,100.0,0.3554247319698334,-0.351250559091568,0.0035552978515625,0.003513336181640625,0.00499836727976799,225.3384246826172,0.19517111706239562,0.17839738209293762,False,0.0,-9999,[],False,True,False,True
110,768,512,71.77888671478286,36.95418274469136,False,False,100.0,100.0,-0.08697449415922165,-0.3104126751422882,-0.0008697449415961955,0.003104126751424019,0.0032236716880505068,164.3476649697738,0.0753134769009667,0.07402930709501546,False,0.0,-9999,[],False,True,False,True
111,896,512,73.05888671478286,36.95418274469136,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
112,1024,512,74.33888671478286,36.95418274469136,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
113,1152,512,75.61888671478286,36.95418274469136,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
114,1280,512,76.89888671478285,36.95418274469136,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
115,1408,512,78.17888671478285,36.95418274469136,False,False,256.0,256.0,-0.3455609381198883,-0.376740962266922,-0.00345611572265625,0.0037689208984375,0.005113658029586077,137.47178649902344,0.26112501357002216,0.26397529260444996,True,50.59490512387294,-9999,[],False,False,False,False
116,1536,512,79.45888671478285,36.95418274469136,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
117,1664,512,80.73888671478285,36.95418274469136,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
118,1792,512,82.01888671478285,36.95418274469136,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
119,1920,512,83.29888671478285,36.95418274469136,False,False,256.0,256.0,0.4452761113643646,-0.2834317684173584,0.004452761113640236,0.0028343176841758577,0.00527829880453718,237.52200859363523,0.4843409321450182,0.4833702258127386,False,33.50714272435789,-9999,[],False,True,False,True
120,2048,512,84.57888671478285,36.95418274469136,False,False,256.0,256.0,-24.77577692270279,-16.567735582590103,-0.24775776922702875,0.16567735582589904,0.29804848338116935,123.77092402080345,0.4210287638857875,0.4274470527018136,True,32.787025260350845,-9999,[],False,False,False,False
121,2176,512,85.85888671478286,36.95418274469136,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
122,2304,512,87.13888671478286,36.95418274469136,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
123,2432,512,88.41888671478286,36.95418274469136,False,False,256.0,256.0,-87.7246829867363,-28.353254050016403,-0.8772468298673601,0.2835325405001612,0.9219287944493374,107.91120897999562,0.27368857152635084,0.42321526115833985,True,51.68739298199432,-9999,[],False,False,False,False
124,2560,512,89.69888671478286,36.95418274469136,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
125,2688,512,90.97888671478286,36.95418274469136,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
